,w_adv,w_time,w_prob,non-weighted error,weighted error,correlation,pvalue,mean,std,c0,c10,c20,c30,c40,c50,c60,c70,c80,c90,r0,r10,r20,r30,r40,r50,r60,r70,r80,r90
0,0.0,0.0,1.0,0.08975208027867207,0.07845112491354198,0.9724214785620457,0.005963142942575227,0.8153856048737168,0.1675042525376476,0.0,0.0,0.0,0.0,0.0,491.7,974.7,946.3,982.7,3157.9,,,,,,0.4871612734738421,0.5619501604543216,0.6294659750569616,0.7228893652252472,0.8997728243962676
1,0.0,0.09999999999999999,0.9000000000000001,0.02971430816424019,0.02479564805755264,0.9853582931412259,0.0005088276923109631,0.7607483438252836,0.16409714104842238,0.0,0.0,0.0,0.0,421.4,947.0,967.6,993.9,1057.1,2166.3,,,,,0.48821502152518825,0.5539070207634925,0.6173675027519105,0.7157081392844773,0.8106869760469253,0.9410358735050025
2,0.0,0.19999999999999998,0.7999999999999999,0.04293621099859887,0.043577339829374846,0.9925967483650829,0.00010958409652481418,0.7061110827768589,0.16811529184487797,0.0,0.0,0.0,0.0,1005.6,997.4,1040.1,1050.6,1478.2,981.4,,,,,0.5300320074683833,0.5911501787424736,0.6788545117208818,0.7774574897765815,0.9024884840101774,0.9731760849525193
3,0.0,0.29999999999999993,0.7000000000000001,0.09429769021061282,0.0995568966985967,0.9866503025489161,5.614546400915524e-05,0.6514738217284144,0.17905905786808077,0.0,0.0,0.0,330.5,1292.9,1093.9,1098.5,1452.8,403.3,881.4,,,,0.49021536750018047,0.576653091494571,0.6565400330649149,0.7408928101747235,0.8779730346752721,0.8888175071196734,0.9779487304474991
4,0.0,0.39999999999999997,0.5999999999999999,0.1271071371109095,0.15298496647237797,0.9641306839372579,0.0006144549928857315,0.596836560679985,0.1957703131449812,0.0,0.0,0.0,963.3,1407.1,1137.8,1460.5,418.7,339.9,826.0,,,,0.5382446383232813,0.6384617532018031,0.7235031485484128,0.8499627285681525,0.8122952054336515,0.8950903624475997,0.9797245907859334
5,0.0,0.5,0.5,0.15752853959182195,0.20278892337739932,0.9286089192099107,0.001050673864169057,0.542199299631554,0.21692030169476526,0.0,0.0,309.8,1346.6,1571.8,1450.1,417.8,367.6,289.1,800.5,,,0.4894361722382749,0.5918373134562359,0.7143720420008124,0.8384530834271459,0.735113781738179,0.8149806937083264,0.8938044614151567,0.9781882155589556
6,0.0,0.5999999999999999,0.39999999999999997,0.18037270492625967,0.2627053333275532,0.8443450075363726,0.00981837065249403,0.4875620385831262,0.24134504441049853,0.0,0.0,1420.2,1559.8,1445.4,403.2,351.1,324.6,263.5,785.5,,,0.565359983298529,0.7189502843865274,0.8305185004393719,0.7105899216349638,0.7461627003684924,0.8077273741908302,0.8794257114219495,0.9777793549633372
7,0.0,0.7000000000000001,0.29999999999999993,0.2140894473476843,0.32010248606878305,0.808339405494569,0.01037840964150961,0.4329247775346906,0.2681512903118037,0.0,789.4,1983.5,1417.9,402.1,341.4,312.6,286.6,241.8,778.0,,0.5336594287157261,0.6939702704687363,0.8349769924464427,0.6743345677502464,0.7195032289118755,0.7589702440964607,0.8031506860036025,0.8626007611290062,0.9772116156477383
8,0.0,0.7999999999999999,0.19999999999999998,0.22600326051065145,0.3733535719199713,0.7203381728426123,0.03329286944398813,0.3782875164862537,0.2966942951809046,0.0,2560.5,1445.3,378.4,337.6,293.4,281.2,262.5,215.4,779.0,,0.6494691177161249,0.8362510764596764,0.6649155873405899,0.6806233821224082,0.7347190558051802,0.7642976212998259,0.8008321765926325,0.8587393571901523,0.9720534795743584
9,0.0,0.9000000000000001,0.09999999999999999,0.2670493064694868,0.4366484164478937,0.7069239509760673,0.02724514283844089,0.32365025543781856,0.32651894251639985,2308.7,1533.0,364.8,315.2,303.7,257.8,248.1,243.0,195.0,784.0,0.650365944258725,0.8271155028610023,0.6601481261071067,0.6761087609235109,0.7051876734799084,0.7352506635848757,0.7580402643753483,0.8076613621267743,0.8600624226500984,0.9650260294431089
